experiment,scenario,method,hot,rate,repeat,sent,committed,admission_rejected,queue_timeout,client_error,completion_tps,latency_ms,latency_max_ms,mvcc_invalid,queue_wait_ms,fabric_ms,conflict_blocked,scd_selected,scd_edges,hot_key_rejected,ttl_expired
3,ablation,pacc-dabs,100,500,10,10000,4630,5364,0,6,222.06430982412508,1440.2931,25037.0,0,2167.4680345572356,150.307343412527,1807746,4630,9293,0,0
3,ablation,pacc-lpaac,100,300,1,6000,2950,3050,0,0,299.5955460128826,294.13033333333334,3154.0,0,0.0288135593220339,69.45389830508475,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,2,6000,3149,2851,0,0,247.65757213026788,149.13466666666667,2778.0,0,0.038424896792632585,76.38996506827564,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,3,6000,3226,2774,0,0,245.9621218332377,129.63333333333333,4529.0,0,0.0347179169249845,72.58586484810911,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,4,6000,3255,2745,0,0,262.61653608788896,56.60916666666667,2787.0,0,0.034101382488479264,65.2294930875576,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,5,6000,2770,3230,0,0,299.77516862353235,68.72983333333333,3264.0,0,0.3729241877256318,76.15776173285198,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,6,6000,3309,2691,0,0,272.72727272727275,38.364333333333335,2057.0,0,0.038077969174977334,65.20550015110305,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,7,6000,2772,3228,0,0,272.47956403269757,83.03016666666667,3587.0,0,0.8113275613275613,79.68470418470419,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,8,6000,3251,2749,0,0,272.5414490120372,35.11966666666667,2028.0,0,0.034450938172869885,60.73454321747155,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,9,6000,2842,3158,0,0,272.5414490120372,90.5095,3110.0,0,0.35467980295566504,70.46164672765659,0,0,0,0,0
3,ablation,pacc-lpaac,100,300,10,6000,3311,2689,0,0,272.4671904091549,35.159333333333336,2035.0,0,0.03503473270915131,59.72093023255814,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,1,10000,4344,5656,0,0,452.7755139002083,41.5235,2118.0,0,0.02440147329650092,76.58172191528546,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,2,10000,4367,5633,0,0,454.1738577527477,41.2283,2060.0,0,0.029081749484772153,75.84085184337073,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,3,10000,4339,5661,0,0,454.56611664166553,41.4472,2047.0,0,0.0260428670200507,76.87416455404471,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,4,10000,4375,5625,0,0,453.80286803412594,40.1609,2068.0,0,0.029485714285714285,74.19542857142856,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,5,10000,4376,5624,0,0,453.9264639128461,40.8851,2066.0,0,0.030850091407678245,74.8050731261426,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,6,10000,4345,5655,0,0,453.1448250860975,42.2734,2110.0,0,0.02991944764096663,76.16777905638665,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,7,10000,4334,5666,0,0,453.8852578068264,40.0705,2051.0,0,0.02561144439317028,74.23142593447162,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,8,10000,4328,5672,0,0,454.0707442219498,41.2113,2068.0,0,0.027726432532347505,76.48682994454714,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,9,10000,4185,5815,0,0,452.2431259044863,41.9333,2136.0,0,0.03225806451612903,78.64348864994027,0,0,0,0,0
3,ablation,pacc-lpaac,100,500,10,10000,4236,5764,0,0,454.0707442219498,42.5057,2044.0,0,0.02667610953729934,78.8847969782814,0,0,0,0,0
3,ablation,traditional-lock,100,300,1,6000,1780,3230,990,0,239.37761819269898,1881.2986666666666,7929.0,0,2850.811797752809,436.9629213483146,0,0,0,0,0
3,ablation,traditional-lock,100,300,2,6000,1870,3165,965,0,239.97120345558534,1887.533,8018.0,0,2818.7443850267377,415.5224598930481,0,0,0,0,0
3,ablation,traditional-lock,100,300,3,6000,1996,3143,861,0,223.76370552696352,1870.1535,7228.0,0,2970.827154308617,393.04258517034066,0,0,0,0,0
